URL,Title,Status,Response Time (ms),Location,Link Type,Error Message
"https://study4.com/grammar/12-thi-trong-tieng-anh/","12 Thì & Thể bị động nâng cao",404,337,"Month 1, Tuần 1: Grammar Foundation & Listening Immersion, Day 1 (Thứ 2)",primary,
"https://www.youtube.com/watch?v=qjg_GUqU5gQ","Video: 12 Thì Tiếng Anh Chi Tiết",200,290,"Month 1, Tuần 1: Grammar Foundation & Listening Immersion, Day 1 (Thứ 2)",additional,
"https://study4.com/tests/toeic-part-5-training/","Bài tập Part 5 - Động từ",404,177,"Month 1, Tuần 1: Grammar Foundation & Listening Immersion, Day 1 (Thứ 2)",additional,
"https://quizlet.com/vn/515287661/600-essential-words-for-the-toeic-lesson-1-contracts-flash-cards/","Business Vocabulary: Contracts & Personnel",200,1734,"Month 1, Tuần 1: Grammar Foundation & Listening Immersion, Day 2 (Thứ 3)",primary,
"https://ankiweb.net/shared/decks/toeic","Anki Deck: TOEIC Vocabulary 3000",200,652,"Month 1, Tuần 1: Grammar Foundation & Listening Immersion, Day 2 (Thứ 3)",additional,
"https://www.englishclub.com/business-english/collocations.htm","Business English Collocations",404,2095,"Month 1, Tuần 1: Grammar Foundation & Listening Immersion, Day 2 (Thứ 3)",additional,
"https://study4.com/tests/toeic/ets-toeic-2024-test-1-lc-rc/","Part 1 Mastery: 6/6 Perfection Strategy",404,170,"Month 1, Tuần 1: Grammar Foundation & Listening Immersion, Day 3 (Thứ 4)",primary,
"https://www.youtube.com/@TOEICwithJunia","Video: Part 1 Strategy - TOEIC with Junia",404,158,"Month 1, Tuần 1: Grammar Foundation & Listening Immersion, Day 3 (Thứ 4)",additional,
"https://study4.com/tests/toeic-part-1-training/","Part 1 Practice Tests",404,167,"Month 1, Tuần 1: Grammar Foundation & Listening Immersion, Day 3 (Thứ 4)",additional,
"https://study4.com/tests/toeic-part-5-training/","Word Form Speed Mastery: <10s/câu",404,192,"Month 1, Tuần 1: Grammar Foundation & Listening Immersion, Day 4 (Thứ 5)",primary,
"https://www.youtube.com/results?search_query=word+form+toeic+tricks","Video: Word Form Tricks - TOEIC",200,698,"Month 1, Tuần 1: Grammar Foundation & Listening Immersion, Day 4 (Thứ 5)",additional,
"https://quizlet.com/search?query=toeic%20suffixes&type=sets","Flashcards: 20 Common Suffixes",200,1143,"Month 1, Tuần 1: Grammar Foundation & Listening Immersion, Day 4 (Thứ 5)",additional,
"https://study4.com/tests/toeic/ets-toeic-2024-test-1-lc-rc/","Daily Listening Immersion: Shadowing Practice",404,181,"Month 1, Tuần 1: Grammar Foundation & Listening Immersion, Day 5 (Thứ 6)",primary,
"https://www.youtube.com/results?search_query=shadowing+technique+english","Video: How to Shadow Effectively",200,740,"Month 1, Tuần 1: Grammar Foundation & Listening Immersion, Day 5 (Thứ 6)",additional,
"https://www.youtube.com/@TOEICwithJunia","Shadowing Practice Materials",404,181,"Month 1, Tuần 1: Grammar Foundation & Listening Immersion, Day 5 (Thứ 6)",additional,
"https://study4.com/tests/toeic-part-2-training/","Part 2 Question Types: 5 Dạng Câu Hỏi",404,172,"Month 1, Tuần 2: Part 2 & Vocabulary Building, Day 1 (Thứ 2)",primary,
"https://www.youtube.com/@TOEICwithJunia","Video: Part 2 Strategy",404,249,"Month 1, Tuần 2: Part 2 & Vocabulary Building, Day 1 (Thứ 2)",additional,
"https://study4.com/tests/toeic/ets-toeic-2024-test-1-lc-rc/","Part 2 Practice Tests",404,157,"Month 1, Tuần 2: Part 2 & Vocabulary Building, Day 1 (Thứ 2)",additional,
"https://quizlet.com/vn/515287662/600-essential-words-for-the-toeic-lesson-2-office-technology-flash-cards/","Office & Technology Vocabulary",200,3637,"Month 1, Tuần 2: Part 2 & Vocabulary Building, Day 2 (Thứ 3)",primary,
"https://www.youtube.com/results?search_query=office+vocabulary+toeic","Video: Office Vocabulary",200,687,"Month 1, Tuần 2: Part 2 & Vocabulary Building, Day 2 (Thứ 3)",additional,
"https://www.englishclub.com/business-english/vocabulary-technology.htm","Technology Vocabulary Quiz",404,746,"Month 1, Tuần 2: Part 2 & Vocabulary Building, Day 2 (Thứ 3)",additional,
"https://study4.com/grammar/gioi-tu-trong-tieng-anh/","Prepositions & Conjunctions",404,154,"Month 1, Tuần 2: Part 2 & Vocabulary Building, Day 3 (Thứ 4)",primary,
"https://www.youtube.com/results?search_query=prepositions+of+time+place","Video: Prepositions of Time",200,626,"Month 1, Tuần 2: Part 2 & Vocabulary Building, Day 3 (Thứ 4)",additional,
"https://study4.com/tests/toeic-part-5-training/","Conjunctions Practice",404,480,"Month 1, Tuần 2: Part 2 & Vocabulary Building, Day 3 (Thứ 4)",additional,
"https://study4.com/tests/toeic-part-7-training/","Speed Reading Part 7 Single Passages",404,216,"Month 1, Tuần 2: Part 2 & Vocabulary Building, Day 4 (Thứ 5)",primary,
"https://www.youtube.com/results?search_query=speed+reading+toeic+part+7","Video: Speed Reading Techniques",200,632,"Month 1, Tuần 2: Part 2 & Vocabulary Building, Day 4 (Thứ 5)",additional,
"https://study4.com/tests/toeic/ets-toeic-2024-test-1-lc-rc/","Part 7 Practice Tests",404,162,"Month 1, Tuần 2: Part 2 & Vocabulary Building, Day 4 (Thứ 5)",additional,
"https://study4.com/tests/toeic-part-5-training/","Mixed Review + Weakness Focus",404,229,"Month 1, Tuần 2: Part 2 & Vocabulary Building, Day 5 (Thứ 6)",primary,
"https://study4.com/tests/toeic/ets-toeic-2024-test-1-lc-rc/","Mixed Practice Tests",404,168,"Month 1, Tuần 2: Part 2 & Vocabulary Building, Day 5 (Thứ 6)",additional,
"https://quizlet.com/vn/515287661/600-essential-words-for-the-toeic-lesson-1-contracts-flash-cards/","Vocabulary Review",200,1567,"Month 1, Tuần 2: Part 2 & Vocabulary Building, Day 5 (Thứ 6)",additional,
"https://study4.com/tests/toeic/ets-toeic-2024-test-1-lc-rc/","BASELINE FULL TEST (Test 1)",404,183,"Month 1, Tuần 2: Part 2 & Vocabulary Building, Day 6 (Thứ 7)",primary,
"https://www.ets.org/toeic/test-takers/scores.html","ETS Score Conversion Table",200,1288,"Month 1, Tuần 2: Part 2 & Vocabulary Building, Day 6 (Thứ 7)",additional,
"https://www.youtube.com/results?search_query=analyze+toeic+test+results","How to Analyze Your TOEIC Test",200,792,"Month 1, Tuần 2: Part 2 & Vocabulary Building, Day 6 (Thứ 7)",additional,
"https://study4.com/tests/toeic-part-3-training/","Part 3 Conversations Strategy",404,173,"Month 1, Tuần 3: Part 3 Conversations & Reading, Day 1 (Thứ 2)",primary,
"https://www.youtube.com/@TOEICwithJunia","Video: Part 3 Strategy",404,176,"Month 1, Tuần 3: Part 3 Conversations & Reading, Day 1 (Thứ 2)",additional,
"https://study4.com/tests/toeic/ets-toeic-2024-test-1-lc-rc/","Part 3 Practice Tests",404,169,"Month 1, Tuần 3: Part 3 Conversations & Reading, Day 1 (Thứ 2)",additional,
"https://quizlet.com/vn/515287663/600-essential-words-for-the-toeic-lesson-3-finance-banking-flash-cards/","Finance & Banking Vocabulary",403,1022,"Month 1, Tuần 3: Part 3 Conversations & Reading, Day 2 (Thứ 3)",primary,
"https://www.youtube.com/results?search_query=finance+vocabulary+toeic","Video: Finance Vocabulary",200,651,"Month 1, Tuần 3: Part 3 Conversations & Reading, Day 2 (Thứ 3)",additional,
"https://www.englishclub.com/business-english/vocabulary-banking.htm","Banking Vocabulary Quiz",200,766,"Month 1, Tuần 3: Part 3 Conversations & Reading, Day 2 (Thứ 3)",additional,
"https://study4.com/tests/toeic-part-7-training/","Part 7 Double Passages",404,165,"Month 1, Tuần 3: Part 3 Conversations & Reading, Day 3 (Thứ 4)",primary,
"https://www.youtube.com/results?search_query=toeic+part+7+double+passage","Video: Double Passage Strategy",200,558,"Month 1, Tuần 3: Part 3 Conversations & Reading, Day 3 (Thứ 4)",additional,
"https://study4.com/tests/toeic/ets-toeic-2024-test-1-lc-rc/","Part 7 Practice Tests",404,183,"Month 1, Tuần 3: Part 3 Conversations & Reading, Day 3 (Thứ 4)",additional,
"https://study4.com/tests/toeic/ets-toeic-2024-test-2-lc-rc/","Mini Test 1 (50 LC + 50 RC)",404,191,"Month 1, Tuần 3: Part 3 Conversations & Reading, Day 4 (Thứ 5)",primary,
"https://study4.com/tests/toeic/ets-toeic-2024-test-2-lc-rc/","Mini Test Answer Key",404,215,"Month 1, Tuần 3: Part 3 Conversations & Reading, Day 4 (Thứ 5)",additional,
"https://www.youtube.com/results?search_query=analyze+toeic+mini+test","How to Analyze Mini Test",200,631,"Month 1, Tuần 3: Part 3 Conversations & Reading, Day 4 (Thứ 5)",additional,
"https://study4.com/tests/toeic/ets-toeic-2024-test-2-lc-rc/","Deep Correction Session",404,163,"Month 1, Tuần 3: Part 3 Conversations & Reading, Day 5 (Thứ 6)",primary,
"https://www.youtube.com/results?search_query=analyze+toeic+errors","How to Analyze Errors",200,707,"Month 1, Tuần 3: Part 3 Conversations & Reading, Day 5 (Thứ 6)",additional,
"https://study4.com/blog/toeic-common-mistakes/","Error Pattern Examples",404,159,"Month 1, Tuần 3: Part 3 Conversations & Reading, Day 5 (Thứ 6)",additional,
"https://study4.com/tests/toeic-part-3-training/","Intensive Part 3-4 Practice",404,187,"Month 1, Tuần 3: Part 3 Conversations & Reading, Day 6 (Thứ 7)",primary,
"https://study4.com/tests/toeic-part-3-training/","Part 3 Practice",404,173,"Month 1, Tuần 3: Part 3 Conversations & Reading, Day 6 (Thứ 7)",additional,
"https://study4.com/tests/toeic-part-4-training/","Part 4 Practice",404,159,"Month 1, Tuần 3: Part 3 Conversations & Reading, Day 6 (Thứ 7)",additional,
"https://study4.com/tests/toeic-part-7-training/","Paraphrasing Technique - Map 20 Synonym Pairs",404,180,"Month 2, Tuần 5: Paraphrasing & Part 3-4 Elite, Day 1 (Thứ 2)",primary,
"https://www.youtube.com/results?search_query=paraphrasing+toeic","Video: Paraphrasing in TOEIC",200,662,"Month 2, Tuần 5: Paraphrasing & Part 3-4 Elite, Day 1 (Thứ 2)",additional,
"https://quizlet.com/search?query=toeic%20synonyms&type=sets","Synonym List for TOEIC",200,1089,"Month 2, Tuần 5: Paraphrasing & Part 3-4 Elite, Day 1 (Thứ 2)",additional,
"https://study4.com/tests/toeic-part-3-training/","Shadowing Part 3 Fluency - 10-15 Reps",404,211,"Month 2, Tuần 5: Paraphrasing & Part 3-4 Elite, Day 2 (Thứ 3)",primary,
"https://www.youtube.com/results?search_query=shadowing+technique+part+3","Shadowing Technique Video",200,764,"Month 2, Tuần 5: Paraphrasing & Part 3-4 Elite, Day 2 (Thứ 3)",additional,
"https://www.youtube.com/@TOEICwithJunia","Part 3 Audio Materials",404,169,"Month 2, Tuần 5: Paraphrasing & Part 3-4 Elite, Day 2 (Thứ 3)",additional,
"https://quizlet.com/vn/515287664/600-essential-words-for-the-toeic-lesson-4-marketing-business-trip-flash-cards/","Marketing & Business Trip Vocabulary - 40 Words",403,810,"Month 2, Tuần 5: Paraphrasing & Part 3-4 Elite, Day 3 (Thứ 4)",primary,
"https://www.youtube.com/results?search_query=marketing+vocabulary+toeic","Marketing Vocabulary Video",200,647,"Month 2, Tuần 5: Paraphrasing & Part 3-4 Elite, Day 3 (Thứ 4)",additional,
"https://www.englishclub.com/business-english/vocabulary-travel.htm","Business Trip Vocabulary",404,806,"Month 2, Tuần 5: Paraphrasing & Part 3-4 Elite, Day 3 (Thứ 4)",additional,
"https://study4.com/tests/toeic-part-7-training/","Part 7 Scanning Speed - <20s per Detail",404,158,"Month 2, Tuần 5: Paraphrasing & Part 3-4 Elite, Day 4 (Thứ 5)",primary,
"https://www.youtube.com/results?search_query=speed+reading+scanning+technique","Video: Speed Reading Techniques",200,607,"Month 2, Tuần 5: Paraphrasing & Part 3-4 Elite, Day 4 (Thứ 5)",additional,
"https://study4.com/tests/toeic/ets-toeic-2024-test-2-lc-rc/","Part 7 Detail Questions",404,192,"Month 2, Tuần 5: Paraphrasing & Part 3-4 Elite, Day 4 (Thứ 5)",additional,
"https://study4.com/tests/toeic-part-7-training/","Inference Questions Practice - LC + RC",404,153,"Month 2, Tuần 5: Paraphrasing & Part 3-4 Elite, Day 5 (Thứ 6)",primary,
"https://www.youtube.com/results?search_query=toeic+inference+questions","Video: Inference Questions Strategy",200,618,"Month 2, Tuần 5: Paraphrasing & Part 3-4 Elite, Day 5 (Thứ 6)",additional,
"https://study4.com/tests/toeic-part-3-training/","Part 3-4 Inference Practice",404,164,"Month 2, Tuần 5: Paraphrasing & Part 3-4 Elite, Day 5 (Thứ 6)",additional,
"https://study4.com/tests/toeic/ets-toeic-2024-test-2-lc-rc/","FULL TEST 2 - ETS 2024",404,159,"Month 2, Tuần 5: Paraphrasing & Part 3-4 Elite, Day 6 (Thứ 7)",primary,
"https://www.ets.org/toeic/test-takers/scores.html","ETS Score Conversion",200,326,"Month 2, Tuần 5: Paraphrasing & Part 3-4 Elite, Day 6 (Thứ 7)",additional,
"https://www.youtube.com/results?search_query=analyze+toeic+full+test","How to Analyze Full Test",200,604,"Month 2, Tuần 5: Paraphrasing & Part 3-4 Elite, Day 6 (Thứ 7)",additional,
"https://study4.com/tests/toeic-part-4-training/","Part 4 Monologues - Speed Note-taking",404,212,"Month 2, Tuần 6: Part 4 & Advanced Grammar, Day 1 (Thứ 2)",primary,
"https://www.youtube.com/@TOEICwithJunia","Video: Part 4 Strategy",404,168,"Month 2, Tuần 6: Part 4 & Advanced Grammar, Day 1 (Thứ 2)",additional,
"https://study4.com/tests/toeic/ets-toeic-2024-test-2-lc-rc/","Part 4 Practice Tests",404,163,"Month 2, Tuần 6: Part 4 & Advanced Grammar, Day 1 (Thứ 2)",additional,
"https://study4.com/grammar/menh-de-quan-he/","Relative Clauses & Conditionals - All 4 Types",404,197,"Month 2, Tuần 6: Part 4 & Advanced Grammar, Day 2 (Thứ 3)",primary,
"https://www.youtube.com/results?search_query=relative+clauses+toeic","Video: Relative Clauses",200,574,"Month 2, Tuần 6: Part 4 & Advanced Grammar, Day 2 (Thứ 3)",additional,
"https://study4.com/tests/toeic-part-5-training/","Conditionals Practice",404,183,"Month 2, Tuần 6: Part 4 & Advanced Grammar, Day 2 (Thứ 3)",additional,
"https://quizlet.com/vn/515287665/600-essential-words-for-the-toeic-lesson-5-manufacturing-logistics-flash-cards/","Manufacturing & Logistics Vocabulary - 40 Words",200,1735,"Month 2, Tuần 6: Part 4 & Advanced Grammar, Day 3 (Thứ 4)",primary,
"https://www.youtube.com/results?search_query=manufacturing+vocabulary","Manufacturing Vocabulary Video",200,659,"Month 2, Tuần 6: Part 4 & Advanced Grammar, Day 3 (Thứ 4)",additional,
"https://www.englishclub.com/business-english/vocabulary-logistics.htm","Logistics Vocabulary",404,746,"Month 2, Tuần 6: Part 4 & Advanced Grammar, Day 3 (Thứ 4)",additional,
